附件1,,,,,,,,,,,,,,,,,,,,,
白酒抽样监测结果汇总表(第三批）,,,,,,,,,,,,,,,,,,,,,
序号,受检单位,生产地点,经度,纬度,单位,样品名称,规格型号,样品等级,生产日期(批号),综合判定,抽样地点,抽样日期,报告编号,己酸乙酯,乳酸乙酯,乳酸乙酯/乙酸乙酯,乙酸乙酯,酒精度,邻苯二甲酸二（2-乙基）己酯(DEHP),邻苯二甲酸二丁酯(DBP),邻苯二甲酸二异壬酯(DINP)
2,美食林滏东店,河北,114.52,38.05,避暑山庄企业集团,山庄老酒,500ml/瓶 42%vol,优级,2014.11.20,合格,和平路与滏东路交叉口,4/9/15,邯检(S)字(2015)第(L0311)号,1.20～2.80 | 1.75,,,,42.0±1.0 | 42.2,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
3,美食林滏东店,陕西,108.93,34.27,西凤酒股份有限公司,西凤银醇酒,500ml/瓶 45%vol,一级,2014.12.18,合格,和平路与滏东路交叉口,4/9/15,邯检(S)字(2015)第(L0312)号,0.60～2.50 | 1.46,,,,45.0±1.0 | 45.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
4,美食林滏东店,湖北,114.3,30.6,枝江酒业股份有限公司,枝江特曲,480ml/瓶 45%vol,,2014.1.24,合格,和平路与滏东路交叉口,4/9/15,邯检(S)字(2015)第(L0313)号,,,,,45.0±1.0 | 44.0,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
5,美食林滏东店,安徽,117.25,31.83,古井贡酒股份有限公司,古井大曲,500ml瓶 45%vol,,2015.4.1,合格,和平路与滏东路交叉口,4/9/15,邯检(S)字(2015)第(L0314)号,,,,,45.0±1.0 | 45.5,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
6,美食林滏东店,黑龙江,,,黑龙江酿酒有限公司,中粮白酒,500ml/瓶 42%vol,一级,2014.10.24,合格,和平路与滏东路交叉口,4/9/15,邯检(S)字(2015)第(L0315)号,0.60～2.50 | 1.08,,,,42.0±1.0 | 43.0,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
7,阳光超市前进店,河北,114.52,38.05,醉酿酒股份有限公司,刘伶醉,500ml/瓶,优级,20141210,合格,阳光超市前进大街,4/9/15,邯检(S)字(2015)第(L0321)号,1.20～2.80 | 1.47,,,,46.0±1.0 | 46.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
8,阳光超市前进店,河北,114.52,38.05,避暑山庄企业集团酒业有限公司,山莊老酒,500ml/瓶 42%vol,优级,2014.1,合格,阳光超市前进大街,4/9/15,邯检(S)字(2015)第(L0322)号,1.20～2.80 | 1.67,,,,42.0±1.0 | 41.8,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
9,阳光超市前进店,河北,114.52,38.05,丛台酒业股份有限公司,丛台酒（浓香型）白酒,500ml/瓶 53%vol,一级,20141117015,合格,阳光超市前进大街,4/9/15,邯检(S)字(2015)第(L0323)号,0.60～2.50 | 1.28,,,,53.0±1.0 | 52.2,≤1.5 | 0.3,≤0.3 | 未检出,≤9.0 | 未检出
10,阳光超市前进店,北京,116.4,39.9,顺鑫农业股份有限公司牛栏山酒厂,牛栏山（清香型白酒）,500ml/瓶 52%vol,一级,,合格,阳光超市前进大街,4/9/15,邯检(S)字(2015)第(L0324)号,,,,0.30～2.60 | 1.62,52.0±1.0 | 51.4,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
11,阳光超市前进店,河北,114.52,38.05,衡水老白干酒业股份有限公司,老白干香型白酒（白小乐）,300ml/瓶 38.6%vol,优级,2014050509,合格,阳光超市前进大街,4/9/15,邯检(S)字(2015)第(L0325)号,≤0.03 | 未检出（检出限5mg/L）,≥0.4 | 0.7,≥0.8 | 1.1,,38.6±1.0 | 39.5,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
