附件6,,,,,,,,
抽样监测单位名单(第二批）,,,,,,,,
序号,受检单位,样品名称,规格型号,样品等级,综合判定,抽样地点,报告编号,备注
,徐爱云,老北京酥制糖果,,,合格,邯山区邯山街与劳动路交叉口西行10米路南粒香坊干果行,邯检(S)字(2015)第(L0199)号,
,徐爱云,果味软糖,,,合格,邯山区邯山街与劳动路交叉口西行10米路南粒香坊干果行,邯检(S)字(2015)第(L0200)号,
,徐爱云,酥质糖果,,,合格,邯山区邯山街与劳动路交叉口西行10米路南粒香坊干果行,邯检(S)字(2015)第(L0201)号,
,徐爱云,酥质糖果,,,合格,邯山区邯山街与劳动路交叉口西行10米路南粒香坊干果行,邯检(S)字(2015)第(L0202)号,
,阳光超市新世纪店,牛奶糖,518g/桶,,合格,人民路与中华街口,邯检(S)字(2015)第(L0203)号,
,阳光超市新世纪店,特制椰子糖,120克/袋,,合格,中华大街与人民路交叉口东北角,邯检(S)字(2015)第(L0204)号,
,阳光超市新世纪店,花生牛轧糖,454克/袋,,合格,中华大街与人民路交叉口东北角,邯检(S)字(2015)第(L0205)号,
,阳光超市新世纪店,一级大豆油,1.8升/桶,一级,合格,人民路与中华街口,邯检(S)字(2015)第(L0206)号,
,阳光超市新世纪店,大豆油,1.8升/桶,一级,合格,人民路与中华街口,邯检(S)字(2015)第(L0207)号,
,阳光超市新世纪店,一级菜籽油,4.5L/桶,一级,合格,人民路与中华街口,邯检(S)字(2015)第(L0208)号,
,阳光超市新世纪店,中粮白,500ml/瓶 42%vol,一级,合格,中华大街与人民路交叉口东北角,邯检(S)字(2015)第(L0209)号,
,阳光超市新世纪店,口子酒,41%vol 500ml/瓶,,合格,人民路与中华街口,邯检(S)字(2015)第(L0210)号,
,阳光超市新世纪店,绵竹大曲酒（珍品）,46%vol 475ml/瓶,优级,合格,人民路与中华街口,邯检(S)字(2015)第(L0211)号,
,邯郸市金都食品有限公司,冷鲜肉（猪肉）,计量销售,,符合,成安县邯大路北项目开发区32号,邯检(S)字(2015)第(L0212)号,
,邯郸市金都食品有限公司,冷鲜肉（猪肉）,计量销售,,符合,成安县邯大路北项目开发区32号,邯检(S)字(2015)第(L0213)号,
,邯郸市金都食品有限公司,冷鲜肉（猪肉）,计量销售,,符合,成安县邯大路北项目开发区32号,邯检(S)字(2015)第(L0214)号,
,邯郸市恩惠食品有限公司,冷鲜肉（猪肉）,计量销售,,符合,邯郸县南泊村,邯检(S)字(2015)第(L0215)号,
,邯郸市恩惠食品有限公司,冷鲜肉（猪肉）,计量销售,,符合,邯郸县南泊村,邯检(S)字(2015)第(L0216)号,
,邯郸市福润肉类食品有限公司,生鲜肉（猪肉）,计量销售,,符合,峰峰矿区彭新路45号,邯检(S)字(2015)第(L0217)号,
,邯郸市福润肉类食品有限公司,生鲜肉（猪肉）,计量销售,,符合,峰峰矿区彭新路45号,邯检(S)字(2015)第(L0218)号,
,邯郸市福润肉类食品有限公司,生鲜肉（猪肉）,计量销售,,符合,峰峰矿区彭新路45号,邯检(S)字(2015)第(L0219)号,
,邯郸市福润肉类食品有限公司,生鲜肉（猪肉）,计量销售,,符合,峰峰矿区彭新路45号,邯检(S)字(2015)第(L0220)号,
,磁县康汇食品有限公司,生鲜肉（猪肉）,计量销售,,符合,磁县辛庄营乡太平村村北,邯检(S)字(2015)第(L0221)号,
,磁县康汇食品有限责任公司,生鲜肉（猪肉）,计量销售,,符合,磁县辛庄营乡太平村村北,邯检(S)字(2015)第(L0222)号,
,邯郸市丛台区鑫建肉类食品有限公司,生鲜肉（猪肉）,计量销售,,符合,丛台区胡村村南,邯检(S)字(2015)第(L0223)号,
,马头工业城为民定点屠宰厂,生鲜肉（猪肉）,计量销售,,符合,马头成峰路南,邯检(S)字(2015)第(L0224)号,
,马头工业城为民定点屠宰厂,生鲜肉（猪肉）,计量销售,,符合 ,马头成峰路南,邯检(S)字(2015)第(L0225)号,
